<eResourceEntry  timestamp='1362929609105' resUri='platform:/resource/ovinger/tests/oving6.jex' key='resource selected' value='null'/>
<eObjectEntry  timestamp='1362929610532' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@javaElements.0/@classes.2' key='junit test launch' value='AllTests'/>
<eObjectEntry  timestamp='1362929613387' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362929613395' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362929613403' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.5' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362929613412' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.7' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362929613426' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362929613431' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.3' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362929613438' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.5' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362929613443' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.7' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362929613460' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362929613479' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.3' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362929613484' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.5' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362929613490' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.7' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362929613497' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.9' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362929613536' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.2/@requirements.11' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362929613544' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.1' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362929613554' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.3' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362929613577' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.5' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362929613585' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.7' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362929613596' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.3/@requirements.9' key='test run status' value='false'/>
<eObjectEntry  timestamp='1362929650870' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@javaElements.0/@classes.2' key='junit test launch' value='AllTests'/>
<eObjectEntry  timestamp='1362929653350' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.1' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362929653399' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.3' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362929653424' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.5' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362929653448' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.0/@requirements.7' key='test run status' value='true'/>
<eObjectEntry  timestamp='1362929653474' resUri='platform:/resource/ovinger/tests/oving6.jex' fragmentId='//@requirements.1/@requirements.1' key='test run status' value='false'/>
